Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Product ID,Product Name,Sales,Shipping Days,Order Year,Category_Furniture,Category_Office Supplies,Category_Technology,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Sub-Category_Accessories,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
1,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420.0,FUR-BO-10001798,Bush Somerset Collection Bookcase,0.04977649200388438,-0.5493621425050261,2017,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420.0,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0.7998005472699443,-0.5493621425050261,2017,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,CA-2017-138688,2017-06-12,2017-06-16,DV-13045,Darrin Van Huff,United States,Los Angeles,California,90036.0,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,-0.3449444532055016,0.022221783235419408,2017,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311.0,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1.1598872589812843,1.736973560456756,2016,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311.0,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,-0.3325797007049667,1.736973560456756,2016,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",-0.29030207767396865,0.5938057089758649,2015,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,OFF-AR-10002833,Newell 322,-0.35665809328731973,0.5938057089758649,2015,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,1.0794150303783252,0.5938057089758649,2015,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,-0.3387461183175205,0.5938057089758649,2015,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,-0.18491123421303282,0.5938057089758649,2015,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,2.354561251339537,0.5938057089758649,2015,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032.0,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,1.086232560409596,0.5938057089758649,2015,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,CA-2018-114412,2018-04-15,2018-04-20,AA-10480,Andrew Allen,United States,Concord,North Carolina,28027.0,OFF-PA-10002365,Xerox 1967,-0.3434571081705896,0.5938057089758649,2018,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,CA-2017-161389,2017-12-05,2017-12-10,IM-15070,Irene Maddox,United States,Seattle,Washington,98103.0,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,0.2827981364434967,0.5938057089758649,2017,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,US-2016-118983,2016-11-22,2016-11-26,HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106.0,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-0.25846459543523953,0.022221783235419408,2016,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,US-2016-118983,2016-11-22,2016-11-26,HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106.0,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-0.36421610410850375,0.022221783235419408,2016,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
